"","Estimate","SE","LowerCI","UpperCI","z","p","Chi2","df","p_LRT"
"(Intercept)","-0.54","0.35","-1.31","0.15","-1.54","0.124","   NA",NA,"   NA"
"conditiontest"," 1.36","0.28"," 0.84","2.10"," 4.82","0.000","14.97",1,"0.000"
"z.trial","-0.07","0.11","-0.29","0.15","-0.70","0.486"," 0.48",1,"0.488"
"counterbalancetestfirst"," 0.92","0.49","-0.04","1.96"," 1.87","0.061"," 3.17",1,"0.075"
