id,date,subject,counterbalance,condition,session,trial,side_dropped_stone,got_two_rewards,platforms_stabilized,comment
80,12.05.2022,baluku,controlfirst,control,2,8,left,yes,one,nice gopro perspective
81,13.05.2022,baluku,controlfirst,test,3,1,left,yes,two,
82,13.05.2022,baluku,controlfirst,test,3,2,right,yes,two,
83,13.05.2022,baluku,controlfirst,test,3,3,right,no,one,
84,13.05.2022,baluku,controlfirst,test,3,4,right,yes,two,
85,13.05.2022,baluku,controlfirst,test,3,5,right,no,one,
86,13.05.2022,baluku,controlfirst,test,3,6,right,yes,two,
87,13.05.2022,baluku,controlfirst,test,3,7,right,yes,two,
88,13.05.2022,baluku,controlfirst,test,3,8,right,yes,two,
89,14.05.2022,baluku,controlfirst,test,4,1,left,yes,two,
90,14.05.2022,baluku,controlfirst,test,4,2,right,yes,two,
91,14.05.2022,baluku,controlfirst,test,4,3,left,no,one,
92,14.05.2022,baluku,controlfirst,test,4,4,left,no,one,
93,14.05.2022,baluku,controlfirst,test,4,5,left,yes,two,
94,14.05.2022,baluku,controlfirst,test,4,6,left,yes,two,
95,14.05.2022,baluku,controlfirst,test,4,7,left,yes,two,
96,14.05.2022,baluku,controlfirst,test,4,8,left,yes,one,
97,11.05.2022,nani,controlfirst,control,1,1,right,yes,two,
98,11.05.2022,nani,controlfirst,control,1,2,right,yes,one,
99,11.05.2022,nani,controlfirst,control,1,3,right,yes,two,
100,11.05.2022,nani,controlfirst,control,1,4,right,yes,two,
101,11.05.2022,nani,controlfirst,control,1,5,right,yes,two,
102,11.05.2022,nani,controlfirst,control,1,6,right,yes,two,
103,11.05.2022,nani,controlfirst,control,1,7,right,yes,one,
104,11.05.2022,nani,controlfirst,control,1,8,right,yes,two,
105,12.05.2022,nani,controlfirst,control,2,1,left,yes,two,
106,12.05.2022,nani,controlfirst,control,2,2,left,yes,one,
107,12.05.2022,nani,controlfirst,control,2,3,left,yes,two,
108,12.05.2022,nani,controlfirst,control,2,4,left,yes,two,
109,12.05.2022,nani,controlfirst,control,2,5,left,yes,one,
110,12.05.2022,nani,controlfirst,control,2,6,left,yes,one,
111,12.05.2022,nani,controlfirst,control,2,7,left,yes,one,
112,12.05.2022,nani,controlfirst,control,2,8,left,no,one,
113,13.05.2022,nani,controlfirst,test,3,1,left,yes,two,
